onset	duration	trial_type
35.984	8.008	fixation
0	4.442	instruction_image
4.442	31.542	vv_easy_image
80.173	9.819	fixation
43.992	4.627	instruction_text
48.619	31.554	vm_difficult_text
125.962	8.027	fixation
89.992	4.458	instruction_text
94.45	31.512	vv_difficult_text
170.154	9.838	fixation
133.989	4.642	instruction_image
138.631	31.523	vm_easy_image
184.466	31.503	am_difficult_image
215.969	8.021	fixation
179.992	4.474	instruction_image
228.424	31.502	av_easy_text
259.926	8.063	fixation
223.99	4.434	instruction_text
272.442	31.5	av_difficult_image
303.942	8.051	fixation
267.989	4.453	instruction_image
316.449	31.508	am_easy_text
347.957	8.035	fixation
311.993	4.456	instruction_text
