onset	duration	trial_type
4.438	31.719	am_easy_image
36.157	9.839	fixation
0	4.438	instruction_image
82.148	9.843	fixation
45.996	4.458	instruction_text
50.454	31.694	vv_difficult_text
96.426	31.716	av_easy_image
128.142	9.85	fixation
91.991	4.435	instruction_image
142.451	31.751	av_difficult_text
174.202	9.795	fixation
137.992	4.459	instruction_text
220.09	9.907	fixation
183.997	4.434	instruction_image
188.431	31.659	vv_easy_image
266.171	9.826	fixation
229.997	4.554	instruction_image
234.551	31.62	vm_easy_image
312.113	9.882	fixation
275.997	4.445	instruction_image
280.442	31.671	vm_difficult_image
326.547	31.675	am_difficult_text
358.222	8.367	fixation
321.995	4.552	instruction_text
